# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=torus mode=4 steer=-1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
62,1.050000055,+12.703864098,+11.918678284,+7.075989723,+14.843904495,+0.071604751,-1.875359058,+0.035585541,-0.011009507,-27.886556625,+43.790897369,+79.037094116,-0.005111188,+0.000000000,+0.073703684,+0.000000000,+0.017034715,+0.000000000,+0.000720220,+0.000000000,1,13
63,1.066666722,+12.375377655,+11.798340797,+7.063022614,+14.396298409,+0.054336682,-1.812989712,+0.036050215,-0.024598738,+19.036354065,+47.903709412,+88.700424194,-1.990466714,+0.000000000,+0.087192863,+0.000000000,+0.049310293,+0.000000000,+0.001743850,+0.000000000,4,13
64,1.083333390,+12.288375854,+11.640207291,+7.042783737,+13.833403587,+0.046964001,-1.734228134,+0.036095578,-0.072269693,+48.870040894,+48.870040894,+154.227111816,+0.000000000,+0.106202051,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,14
65,1.100000057,+12.166039467,+11.442790031,+7.010288239,+13.163339615,+0.217691585,-1.639516830,+0.034406558,+0.001404213,+48.959621429,+55.422710419,+28.117336273,-0.248862267,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,1,14
66,1.116666725,+12.081318855,+11.207501411,+6.994734287,+12.714042664,+0.152854681,-1.578133106,+0.034591783,-0.084027432,+30.787036896,+59.936424255,+198.874328613,-1.939974070,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,13
67,1.133333392,+11.908244133,+10.943240166,+6.986723900,+12.477844238,+0.148705155,-1.546085358,+0.033865672,-0.024155091,+53.423683167,+59.887435913,+107.909721375,+0.000000000,+0.172300503,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,15
68,1.150000060,+11.439452171,+10.759429932,+6.983074188,+11.825610161,+0.260646939,-1.462098122,+0.032647148,+0.010424664,+40.187976837,+50.790973663,+2.558347940,-0.537085772,+0.000000000,+0.149832606,+0.000000000,+0.064894587,+0.000000000,+0.002503764,+0.000000000,2,14
69,1.166666728,+10.849845886,+10.578211784,+6.984592438,+11.313380241,+0.180392891,-1.397355556,+0.032289080,-0.127476335,+40.255836487,+40.255836487,+30.695089340,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,13
70,1.183333395,+10.374479294,+10.200584412,+6.990723610,+11.143852234,+0.187553793,-1.377082825,+0.030720005,-0.027168155,+43.069507599,+43.069507599,+225.750000000,-0.584276319,-0.013850972,+0.276722372,+0.000000000,+0.088451535,+0.000000000,+0.003320650,+0.000000000,4,14
71,1.200000063,+10.029758453,+10.013745308,+6.955955982,+9.767376900,+0.327157140,-1.197423935,+0.030463034,-0.078148931,+62.575000763,+62.575000763,+19.909313202,+0.000000000,+0.017219990,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,1,15
72,1.216666730,+9.731247902,+9.445475578,+6.921012878,+9.652710915,+0.269885242,-1.177152157,+0.028243747,-0.185573131,+41.990932465,+41.990932465,+223.100463867,-0.163232744,+0.074510030,+0.411151350,+0.000000000,+0.164093137,+0.000000000,+0.005438049,+0.000000000,4,13
73,1.233333398,+9.553654671,+9.065155029,+6.907000542,+9.276038170,+0.234879762,-1.128098965,+0.027646149,-0.040798344,+62.310043335,+62.310047150,+25.642917633,-1.414897919,-0.074865311,+0.263443351,+0.000000000,+0.122627810,+0.000000000,+0.003842117,+0.000000000,7,15
74,1.250000065,+9.270951271,+8.850352287,+6.903134346,+8.701243401,+0.276444823,-1.056481361,+0.027054206,-0.026223095,-18.967334747,+42.564292908,+4.409975052,-0.057540111,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,1,15
