# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=sphere mode=0 steer=+1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
70,1.183333395,+1.921081066,+2.535991907,+10.286507607,+0.629643679,+0.209675819,-0.113046646,+0.006194745,+0.052228197,-13.811941147,+42.862106323,+23.735830307,-1.010635138,+1.097963095,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
71,1.200000063,+1.906104445,+2.525985241,+10.281604767,+0.582644999,+0.190172553,-0.104557991,+0.006173415,+0.051938776,-42.373584747,+42.373584747,+26.381504059,-1.013987541,+1.096457481,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
72,1.216666730,+1.923452497,+2.541425943,+10.276932716,+0.569741130,+0.173910260,-0.102195740,+0.006148001,+0.056125969,-32.608894348,+42.638149261,+28.269496918,-0.998058438,+1.099177003,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
73,1.233333398,+1.953989744,+2.584635973,+10.271616936,+0.587690115,+0.160768449,-0.105360985,+0.006161622,+0.063553832,-36.450855255,+42.826950073,+32.951248169,-0.987753332,+1.098694324,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
74,1.250000065,+1.986237288,+2.638066530,+10.265673637,+0.628920317,+0.149652556,-0.112688065,+0.006194563,+0.067688689,-28.095407486,+43.295124054,+33.077087402,-0.972626030,+1.118954659,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
75,1.266666733,+2.011025429,+2.674876213,+10.259757996,+0.681559563,+0.140627533,-0.122050285,+0.006179274,+0.068313181,-22.379735947,+43.307708740,+33.379421234,-0.959691286,+1.109095335,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
76,1.283333400,+2.017935514,+2.675432444,+10.254306793,+0.739654064,+0.134202749,-0.132384300,+0.006072858,+0.067579016,-16.020021439,+43.337944031,+34.043972015,-0.953205466,+1.105439305,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
77,1.300000068,+1.998081207,+2.630463123,+10.249109268,+0.797101617,+0.130229041,-0.142595291,+0.005892832,+0.066272274,-10.222627640,+43.404396057,+34.530834198,-0.951847076,+1.095571280,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
78,1.316666735,+1.947443008,+2.541115284,+10.243713379,+0.848884046,+0.128255263,-0.151780128,+0.005635259,+0.064017124,-4.320512772,+43.453083038,+34.659454346,-0.951382816,+1.093867064,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
79,1.333333403,+1.866600513,+2.415218592,+10.237915993,+0.890942216,+0.127562821,-0.159211159,+0.005321961,+0.061446369,-0.041395422,+43.465946198,+34.050346375,-0.953750014,+1.087461710,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
