# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.400000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
66,1.116666725,-3.337486982,-2.225537777,+11.817831039,-1.166995764,-0.200917602,+0.240737915,-0.006727280,+0.040926289,-41.964771271,+41.964771271,+29.217754364,-1.212093115,+0.894962668,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
67,1.133333392,-3.314818144,-2.306983471,+11.811537743,-1.162979245,-0.195355043,+0.239781380,-0.006798585,+0.042947453,-42.921775818,+42.921775818,+32.438262939,-1.216044784,+0.900542259,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
68,1.150000060,-3.288155794,-2.352445602,+11.806059837,-1.156727195,-0.192408785,+0.238381386,-0.006814537,+0.044624627,-43.243827820,+43.243827820,+31.636184692,-1.224003315,+0.902163446,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
69,1.166666728,-3.251736164,-2.355165958,+11.801210403,-1.143789649,-0.191463366,+0.235617638,-0.006755888,+0.046695992,-43.163619995,+43.163619995,+25.221149445,-1.213564396,+0.904424727,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
70,1.183333395,-3.189227819,-2.362726688,+11.795575142,-1.119215250,-0.188340098,+0.230443954,-0.006960459,+0.035229784,-27.538234711,+42.522113800,+70.834152222,-1.214840412,+0.908304095,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
71,1.200000063,-3.035758495,-2.288176537,+11.791097641,-1.064703822,-0.189934418,+0.219134331,-0.006817984,+0.047615759,-47.083415985,+47.083415985,+23.595844269,-1.184438944,+0.905937850,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
72,1.216666730,-2.874796152,-2.191163778,+11.791604996,-0.990751982,-0.192002237,+0.203919411,-0.006340862,+0.061286017,-42.359584808,+42.359584808,+15.878130913,-1.226976156,+0.938386202,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
73,1.233333398,-2.745147943,-2.071026087,+11.790789604,-0.931824505,-0.192931458,+0.191775322,-0.005857897,+0.061417125,-41.587814331,+41.587814331,+28.603185654,-1.165108919,+0.954663098,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
74,1.250000065,-2.642714262,-1.927357793,+11.786110878,-0.886623800,-0.193224281,+0.182398796,-0.005460964,+0.059845231,-42.860317230,+42.860317230,+26.097873688,-1.230723739,+0.939188898,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
75,1.266666733,-2.553346872,-1.768597007,+11.779279709,-0.842420995,-0.190780163,+0.173203468,-0.005143498,+0.059934434,-42.609786987,+42.609786987,+16.119112015,-1.246142507,+0.935876489,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
76,1.283333400,-2.461446047,-1.608107924,+11.773149490,-0.792781949,-0.187065557,+0.162911415,-0.004854208,+0.059971228,-41.611907959,+41.611911774,+19.096399307,-1.258121848,+0.925067127,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
77,1.300000068,-2.365445614,-1.460547686,+11.769099236,-0.737573981,-0.182703122,+0.151513100,-0.004615025,+0.059006944,-41.909641266,+41.909641266,+22.384941101,-1.262577057,+0.934469283,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
78,1.316666735,-2.272678614,-1.339590669,+11.766560555,-0.678960919,-0.177901044,+0.139441490,-0.004404787,+0.058851719,-42.238494873,+42.238494873,+24.386491776,-1.267965436,+0.928853750,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
79,1.333333403,-2.190386295,-1.254957318,+11.764171600,-0.618005037,-0.172336802,+0.126895905,-0.004269645,+0.057740044,-42.438648224,+42.438648224,+25.519393921,-1.262874246,+0.947003901,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
80,1.350000070,-2.124566078,-1.213912249,+11.760534286,-0.563377142,-0.166599780,+0.115642548,-0.004199904,+0.054499488,-42.551940918,+42.551940918,+24.776199341,-1.276703119,+0.937735319,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
81,1.366666738,-2.074971437,-1.208162904,+11.756459236,-0.503230751,-0.162257090,+0.103260040,-0.004161852,+0.053001851,-42.477619171,+42.477619171,+25.399244308,-1.269766808,+0.950798750,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
